,open,high,low,close,volume,timestamp
138,251.45,254.18,248.2,250.96,7738588.0,2024-10-31
139,252.1,254.2,252.0,253.7,1782431.0,2024-11-01
140,253.5,255.6,247.55,252.65,15810287.0,2024-11-04
141,253.7,260.0,251.45,257.9,16900651.0,2024-11-05
142,260.05,264.0,259.1,262.55,21915311.0,2024-11-06
143,263.0,266.4,261.0,262.75,11833629.0,2024-11-07
144,262.7,262.7,254.15,256.6,13569792.0,2024-11-08
145,256.0,259.55,252.8,258.35,9319722.0,2024-11-11
146,259.0,260.5,252.0,252.7,6461353.0,2024-11-12
147,250.15,252.85,241.9,243.3,15240064.0,2024-11-13
148,243.45,246.9,240.85,241.5,6939685.0,2024-11-14
149,241.5,243.85,236.15,241.4,15402466.0,2024-11-18
150,242.5,246.0,236.25,237.2,12811548.0,2024-11-19
151,237.2,237.4,219.85,228.5,32722184.0,2024-11-21
152,229.0,238.0,229.0,236.0,16249864.0,2024-11-22
153,242.0,248.3,240.8,247.1,18985964.0,2024-11-25
154,247.1,250.0,245.4,247.5,5822108.0,2024-11-26
155,247.5,249.85,244.65,246.45,9255064.0,2024-11-27
156,247.45,252.0,245.6,249.0,12657927.0,2024-11-28
157,249.45,250.45,244.25,246.4,9029433.0,2024-11-29
158,246.0,247.5,244.3,246.41,7689533.0,2024-12-02
159,247.7,255.0,247.18,254.55,15697277.0,2024-12-03
160,255.0,261.7,254.22,260.57,16236326.0,2024-12-04
161,260.95,262.38,258.55,259.98,12264971.0,2024-12-05
162,261.3,266.95,258.0,264.6,18607200.0,2024-12-06
163,263.0,264.8,261.32,262.93,9706145.0,2024-12-09
164,263.6,264.45,261.0,262.93,10964378.0,2024-12-10
165,262.93,265.0,259.99,260.77,9109708.0,2024-12-11
166,259.25,261.2,258.0,259.2,8971686.0,2024-12-12
167,258.0,258.9,251.11,257.99,12263775.0,2024-12-13
168,256.64,259.6,256.54,259.08,5025258.0,2024-12-16
169,257.51,259.3,253.6,255.99,8889901.0,2024-12-17
170,254.25,255.8,249.73,250.67,9707392.0,2024-12-18
171,246.0,251.0,244.85,248.31,6211727.0,2024-12-19
172,248.0,249.99,237.77,240.59,10949542.0,2024-12-20
173,241.06,247.3,239.05,246.25,11064641.0,2024-12-23
174,245.7,247.68,243.29,244.95,7643411.0,2024-12-24
175,244.99,248.7,244.99,246.68,5185131.0,2024-12-26
176,246.15,248.21,244.6,244.99,4851649.0,2024-12-27
177,244.0,247.3,239.72,241.0,24354060.0,2024-12-30
178,240.0,241.9,238.06,240.55,11001016.0,2024-12-31
179,240.0,241.78,238.77,241.22,4349210.0,2025-01-01
180,240.7,241.92,235.05,241.12,14134494.0,2025-01-02
181,242.5,245.1,240.8,241.64,11308123.0,2025-01-03
182,239.2,241.39,227.25,227.96,29034063.0,2025-01-06
183,230.4,233.72,229.25,232.46,10569432.0,2025-01-07
184,232.51,234.46,229.91,232.95,9535741.0,2025-01-08
185,231.6,233.15,229.7,231.04,5382497.0,2025-01-09
186,230.11,231.15,225.0,225.4,8065484.0,2025-01-10
187,224.0,224.43,216.35,217.69,14375458.0,2025-01-13
188,217.85,226.45,217.85,223.72,10793343.0,2025-01-14
189,224.88,225.89,221.25,222.02,8409931.0,2025-01-15
190,225.0,230.95,225.0,228.85,13044666.0,2025-01-16
